id	proactive	emot_intel	sjt	work_samp	str_int	consc	cog_flex	work_exp	degree	job_perf	citizenship	promotion	high_potential
31	50	47	47	49	47	56	41	11+	associate	41	42	No	No
32	42	36	40	42	34	42	48	0-1	bachelor	31	27	No	No
33	49	38	46	45	46	52	46	0-1	bachelor	46	34	No	No
34	55	44	48	48	47	54	43	2-5	none	47	50	No	No
35	52	53	50	43	48	51	46	2-5	bachelor	46	48	No	No
36	50	42	46	46	42	55	45	0-1	bachelor	39	36	No	No
37	55	49	49	49	44	55	44	6-10	bachelor	49	45	No	Yes
38	54	50	55	48	53	48	49	0-1	bachelor	48	51	No	No
39	54	52	53	43	51	52	44	0-1	masters	42	54	No	No
40	43	47	43	38	44	49	46	2-5	bachelor	30	33	Yes	No
41	53	49	55	53	53	55	53	11+	bachelor	56	56	No	No
42	51	45	49	51	54	52	48	0-1	associate	44	48	No	Yes
43	54	48	48	44	48	46	48	2-5	bachelor	39	48	No	No
44	47	46	46	46	46	43	40	0-1	none	39	35	No	No
45	53	45	47	46	54	44	46	0-1	bachelor	42	44	No	Yes
46	53	48	50	48	54	49	50	6-10	bachelor	51	46	No	Yes
47	55	45	51	48	50	53	43	6-10	none	49	47	No	No
48	50	44	51	47	44	53	46	0-1	bachelor	49	43	No	Yes
49	59	45	49	48	50	52	50	0-1	bachelor	38	40	No	No
50	53	47	43	47	48	58	46	6-10	bachelor	45	29	No	No
51	54	50	48	49	50	52	45	2-5	associate	48	38	No	No
52	57	50	50	50	57	61	46	6-10	bachelor	60	56	Yes	No
53	47	44	41	39	39	47	39	0-1	none	32	39	Yes	No
54	54	42	40	46	51	57	49	2-5	bachelor	47	40	No	No
55	59	51	52	54	53	53	49	0-1	bachelor	56	54	No	Yes
56	50	42	45	42	47	53	45	0-1	bachelor	32	34	No	No
57	55	48	45	44	50	54	40	0-1	none	37	50	No	No
58	52	44	46	46	49	59	45	0-1	associate	37	43	No	No
59	58	48	54	46	48	48	50	2-5	none	51	48	No	No
60	59	55	57	52	53	52	49	2-5	associate	59	49	No	Yes
61	53	49	48	49	51	55	47	2-5	bachelor	43	42	No	Yes
62	51	42	48	46	47	47	46	0-1	bachelor	43	40	No	No
63	53	49	51	52	49	59	45	6-10	bachelor	43	51	No	No
64	49	36	45	44	42	48	38	0-1	none	35	42	No	No
65	48	47	48	44	50	46	42	0-1	none	42	45	No	No
66	49	50	48	43	49	46	47	0-1	bachelor	28	44	No	No
67	55	49	53	54	51	58	49	6-10	bachelor	63	50	No	No
68	44	43	42	40	43	43	44	0-1	associate	40	38	No	No
69	49	48	47	41	47	42	42	0-1	none	33	36	Yes	No
70	51	44	47	48	52	48	55	0-1	bachelor	47	46	No	Yes
71	50	44	43	43	46	49	38	0-1	associate	40	40	Yes	No
72	54	45	50	48	50	50	42	0-1	none	48	45	Yes	Yes
73	52	42	43	45	49	53	43	2-5	none	41	37	No	No
74	45	37	42	39	45	40	42	6-10	associate	30	32	No	No
75	57	46	53	52	48	56	45	2-5	bachelor	53	49	No	No
76	48	47	47	40	49	48	45	0-1	bachelor	41	43	No	Yes
77	52	51	49	46	52	56	50	2-5	bachelor	45	61	No	No
78	50	45	47	44	49	51	51	0-1	bachelor	44	47	No	No
79	50	46	43	42	47	49	42	0-1	none	30	53	No	No
80	58	49	52	49	53	56	45	2-5	associate	51	51	Yes	No
81	51	47	46	47	45	44	45	0-1	bachelor	38	43	No	No
82	52	35	42	45	46	56	39	2-5	none	39	32	No	No
83	49	44	44	47	53	56	44	0-1	associate	33	49	No	No
84	53	45	46	50	45	57	51	2-5	bachelor	58	50	No	Yes
85	52	49	54	50	50	49	47	0-1	bachelor	44	52	No	No
86	55	53	48	52	52	55	49	0-1	bachelor	54	49	No	Yes
87	54	46	47	45	56	55	49	0-1	bachelor	43	45	Yes	No
88	54	48	48	47	51	57	46	2-5	bachelor	52	52	No	Yes
89	57	48	51	48	49	54	44	0-1	doctorate	49	48	No	Yes
90	54	46	43	47	45	56	43	2-5	bachelor	53	45	No	Yes
91	55	51	50	47	51	49	50	6-10	bachelor	54	45	No	No
92	52	40	50	42	44	47	43	2-5	none	43	40	No	No
93	49	41	45	45	44	51	44	0-1	bachelor	32	46	No	No
94	51	46	50	43	45	48	44	2-5	bachelor	40	46	No	No
95	51	43	42	42	50	53	48	2-5	none	41	36	No	No
96	54	50	48	43	55	51	40	0-1	none	40	44	No	No
97	55	44	49	47	50	55	49	0-1	bachelor	48	43	No	No
98	54	39	46	47	48	50	44	6-10	bachelor	40	47	No	No
99	53	55	48	49	51	54	51	6-10	bachelor	67	55	Yes	Yes
100	59	51	50	48	50	57	48	6-10	none	55	62	Yes	Yes
101	50	36	43	46	44	49	37	6-10	none	47	40	No	No
102	58	49	49	44	49	45	43	0-1	bachelor	43	45	Yes	No
103	55	45	53	46	49	49	51	11+	bachelor	47	43	No	Yes
104	52	45	45	46	47	51	47	2-5	doctorate	51	32	No	No
105	53	50	51	49	49	57	49	2-5	bachelor	45	55	No	No
106	49	47	48	49	45	58	44	6-10	none	57	44	No	No
107	50	44	43	47	45	50	40	6-10	none	36	33	No	No
108	56	56	54	49	54	55	51	2-5	bachelor	68	63	Yes	Yes
109	50	43	50	48	46	48	48	0-1	associate	41	43	No	No
110	52	45	41	43	52	55	43	11+	associate	55	40	No	No
111	56	50	54	51	52	52	46	6-10	bachelor	45	49	Yes	No
112	49	45	48	45	43	44	49	0-1	none	39	40	Yes	No
113	52	50	47	43	50	57	47	6-10	bachelor	59	59	No	Yes
114	56	46	48	47	58	53	52	2-5	bachelor	42	55	No	No
115	51	48	44	47	52	58	49	2-5	bachelor	49	51	No	No
116	57	47	47	47	47	57	47	6-10	masters	50	43	No	No
117	50	45	46	44	55	58	49	2-5	bachelor	47	48	No	Yes
118	52	39	47	48	47	51	45	0-1	bachelor	38	36	No	No
119	56	41	53	47	51	55	51	6-10	bachelor	47	53	No	No
120	56	54	52	46	52	54	43	11+	none	51	53	No	No
121	49	47	46	42	48	44	49	6-10	bachelor	45	44	No	No
122	55	39	51	50	43	53	46	2-5	doctorate	40	49	No	No
123	49	43	50	47	49	49	47	2-5	masters	41	31	No	No
124	52	48	45	45	51	57	46	2-5	bachelor	49	43	No	No
125	51	47	47	40	51	47	45	0-1	bachelor	37	41	No	No
126	54	49	49	51	45	53	42	2-5	none	53	47	No	No
127	52	45	46	41	44	47	46	0-1	associate	38	32	No	No
128	56	49	48	47	53	51	47	2-5	bachelor	50	56	No	No
129	44	43	39	42	43	46	45	0-1	bachelor	40	28	No	No
130	51	51	45	38	49	48	48	0-1	none	40	40	No	No
131	51	52	47	42	54	45	50	0-1	bachelor	44	47	No	No
132	53	47	49	44	46	51	51	6-10	bachelor	51	43	No	No
133	48	46	39	42	47	53	49	0-1	bachelor	37	39	Yes	No
134	57	50	50	47	51	53	51	0-1	bachelor	49	59	No	No
135	56	53	52	49	50	57	47	2-5	associate	48	52	No	No
136	56	47	49	52	46	58	39	2-5	none	44	50	No	Yes
137	45	45	38	38	43	48	36	0-1	none	30	39	No	No
138	53	51	43	41	51	57	40	0-1	none	41	42	Yes	Yes
139	54	48	47	48	49	54	46	6-10	bachelor	45	52	No	No
140	50	47	44	44	44	43	42	0-1	none	36	40	No	No
141	50	46	51	50	45	51	44	2-5	none	45	50	Yes	No
142	46	40	43	38	43	45	40	2-5	none	31	34	No	No
143	54	42	43	42	50	53	45	2-5	bachelor	32	35	No	No
144	52	49	43	45	52	47	52	2-5	associate	45	44	Yes	Yes
145	50	48	41	42	52	50	44	0-1	bachelor	43	41	No	No
146	56	55	53	46	55	52	49	6-10	bachelor	50	54	No	No
147	55	53	48	48	54	58	48	2-5	associate	61	44	No	No
148	57	53	53	49	55	48	48	0-1	bachelor	45	54	No	No
149	43	43	44	37	44	52	44	2-5	bachelor	29	41	No	No
150	46	44	43	41	43	45	47	2-5	bachelor	40	35	No	No
151	53	50	48	48	52	51	45	0-1	bachelor	47	43	No	Yes
152	45	39	39	41	41	50	44	2-5	bachelor	33	28	No	No
153	60	52	56	52	55	60	51	2-5	associate	59	59	Yes	No
154	56	49	49	44	53	50	49	2-5	bachelor	41	41	Yes	Yes
155	53	46	48	49	50	54	48	11+	masters	48	49	No	No
156	52	44	44	43	48	51	40	6-10	associate	48	41	No	No
157	49	45	47	41	46	53	42	2-5	none	38	43	No	No
158	52	42	46	48	46	47	42	0-1	none	41	46	No	Yes
159	57	53	53	53	57	53	49	6-10	bachelor	60	61	No	Yes
160	58	49	49	49	55	57	50	0-1	bachelor	50	53	No	No
161	47	41	43	43	42	46	41	0-1	none	31	38	No	No
162	50	46	49	50	49	62	43	2-5	bachelor	36	57	No	No
163	52	42	48	46	46	51	43	2-5	bachelor	43	43	No	No
164	54	46	45	46	52	52	48	2-5	associate	48	38	No	No
165	53	49	44	39	45	44	44	0-1	bachelor	43	44	Yes	No
166	53	46	45	52	44	57	41	0-1	none	45	42	Yes	No
167	53	50	53	47	48	49	41	2-5	associate	48	27	No	No
168	54	44	45	47	48	48	49	0-1	none	44	42	No	Yes
169	55	50	51	45	48	41	45	2-5	bachelor	40	45	No	No
170	58	52	60	58	56	58	47	0-1	associate	68	53	Yes	Yes
171	48	46	50	46	48	56	48	6-10	bachelor	56	37	No	No
172	52	46	47	49	49	53	48	2-5	bachelor	43	43	Yes	No
173	59	47	45	48	52	56	39	6-10	none	51	40	No	No
174	51	39	45	46	47	53	43	0-1	none	39	37	No	No
175	50	45	41	39	50	56	34	6-10	none	42	28	No	No
176	54	48	49	49	48	56	48	0-1	bachelor	48	48	No	No
177	55	47	48	50	49	50	48	2-5	associate	45	54	No	No
178	49	42	45	43	44	50	46	2-5	bachelor	42	38	No	No
179	53	47	52	43	50	45	43	0-1	none	41	52	No	No
180	51	41	42	44	45	51	42	0-1	none	34	43	No	No
181	49	46	45	45	45	50	44	2-5	associate	45	40	No	No
182	56	51	50	50	55	59	49	2-5	bachelor	50	56	No	No
183	54	44	50	47	48	51	46	6-10	none	41	47	No	No
184	49	48	50	51	51	49	50	2-5	none	43	40	No	No
185	49	47	40	42	46	45	43	2-5	none	33	37	No	No
186	54	44	47	52	54	57	55	11+	bachelor	64	53	Yes	Yes
187	56	49	47	49	48	59	40	6-10	none	44	41	No	Yes
188	51	45	49	42	46	49	44	6-10	bachelor	56	43	No	No
189	47	44	45	43	46	53	41	2-5	none	38	41	No	No
190	57	53	52	47	56	54	51	0-1	bachelor	53	63	Yes	No
191	53	43	42	43	47	45	50	0-1	bachelor	37	38	No	No
192	45	42	45	43	48	49	46	2-5	bachelor	34	41	No	Yes
193	49	44	43	41	42	49	38	2-5	associate	25	37	No	No
194	48	43	42	43	42	51	40	2-5	associate	40	39	No	No
195	49	44	45	40	47	40	43	2-5	associate	33	28	No	No
196	54	44	51	51	48	56	50	0-1	associate	44	48	No	No
197	48	45	42	43	46	50	41	0-1	associate	35	30	No	No
198	52	51	50	44	51	54	50	0-1	bachelor	49	62	No	No
199	48	41	42	45	45	49	45	11+	bachelor	40	35	Yes	No
200	57	41	48	43	43	51	46	6-10	bachelor	42	45	No	No
201	58	47	50	51	49	53	45	0-1	bachelor	46	47	No	No
202	50	42	48	53	46	49	45	2-5	associate	43	38	No	No
203	56	49	49	47	49	53	51	0-1	bachelor	47	46	Yes	No
204	47	45	43	44	43	56	50	2-5	doctorate	42	40	No	No
205	54	40	44	44	50	56	47	6-10	bachelor	47	52	No	No
206	46	36	39	40	42	51	41	6-10	associate	41	25	No	No
207	57	47	54	53	47	57	42	0-1	none	46	42	No	No
208	51	48	48	45	47	57	46	2-5	associate	36	52	No	No
209	52	46	45	42	49	51	43	0-1	none	36	43	No	No
210	51	44	44	39	51	45	55	0-1	none	33	44	No	No
211	48	49	47	44	47	43	41	2-5	associate	31	39	No	No
212	52	42	44	44	48	47	45	0-1	none	40	41	No	Yes
213	52	46	48	44	53	49	48	2-5	none	43	44	No	No
214	57	44	51	52	56	56	47	6-10	bachelor	52	49	No	No
215	52	45	49	45	47	52	43	2-5	none	36	41	No	No
216	51	39	40	44	38	49	33	0-1	associate	47	26	No	No
217	49	43	45	45	42	51	45	0-1	masters	40	38	No	No
218	45	39	33	38	38	51	40	11+	none	38	37	No	No
219	50	46	45	43	48	46	47	0-1	bachelor	47	47	Yes	No
220	53	42	44	42	42	48	41	0-1	none	40	43	No	No
221	49	43	39	43	44	46	38	0-1	none	42	41	No	No
222	51	47	48	41	48	43	54	6-10	bachelor	48	56	No	No
223	49	42	44	46	43	54	43	2-5	bachelor	39	41	No	No
224	56	50	48	44	50	52	40	6-10	none	55	42	No	No
225	47	51	53	45	51	50	50	0-1	bachelor	46	39	No	No
226	57	43	49	41	49	59	49	6-10	associate	51	53	No	No
227	55	46	42	49	49	57	46	6-10	bachelor	55	46	No	Yes
228	44	41	41	38	46	52	39	11+	none	35	39	No	No
229	59	55	51	49	55	48	48	0-1	bachelor	54	47	No	No
230	54	49	45	51	44	55	45	11+	associate	59	44	No	No
231	56	48	49	48	53	51	50	0-1	doctorate	53	53	No	No
232	52	50	48	45	52	49	45	2-5	bachelor	46	46	Yes	No
233	55	50	51	49	46	50	44	0-1	bachelor	45	41	No	No
234	52	51	50	47	45	50	42	6-10	none	45	51	No	No
235	58	51	52	56	53	54	59	0-1	none	67	62	Yes	Yes
236	50	45	43	43	48	49	46	0-1	bachelor	45	32	No	No
237	54	48	50	44	49	47	51	0-1	bachelor	30	56	No	No
238	50	43	47	42	46	51	47	0-1	associate	34	35	No	No
239	54	41	45	38	50	46	46	2-5	associate	40	30	No	No
240	53	50	50	50	58	54	50	0-1	bachelor	53	51	No	Yes
241	54	46	46	48	45	53	40	0-1	none	37	41	No	No
242	50	45	42	41	43	48	43	0-1	bachelor	30	39	No	No
243	56	49	53	50	49	53	46	0-1	bachelor	44	45	Yes	No
244	53	46	45	43	46	43	44	0-1	associate	44	45	Yes	No
245	47	43	48	48	50	52	50	2-5	associate	53	49	No	No
246	61	50	53	49	46	60	49	2-5	none	57	59	No	Yes
247	54	44	46	40	51	55	46	2-5	bachelor	51	37	No	No
248	55	49	48	44	51	54	48	6-10	bachelor	56	51	No	Yes
249	54	51	48	49	54	52	45	11+	bachelor	53	52	No	No
250	52	46	45	48	48	51	42	11+	none	47	37	No	No
251	53	44	45	45	48	55	39	2-5	none	43	38	No	No
252	51	49	42	42	51	50	40	2-5	none	40	38	No	No
253	52	45	42	42	54	50	49	0-1	associate	43	48	No	Yes
254	55	51	43	48	47	54	50	0-1	bachelor	47	51	No	No
255	46	39	40	43	42	41	41	2-5	associate	30	33	No	No
256	52	37	42	45	48	46	39	0-1	none	30	32	No	No
257	48	42	45	40	49	48	42	0-1	none	31	33	Yes	No
258	51	38	48	46	45	51	46	2-5	associate	37	39	No	No
259	49	44	50	46	43	50	48	2-5	bachelor	45	34	No	No
260	54	47	47	45	51	48	45	0-1	bachelor	45	47	No	Yes
261	55	46	49	51	46	54	47	6-10	bachelor	64	51	No	Yes
262	58	51	57	49	52	57	52	6-10	bachelor	54	56	No	Yes
263	53	50	48	45	48	51	51	2-5	bachelor	50	44	No	No
264	50	43	47	43	48	52	51	2-5	masters	56	46	No	Yes
265	47	44	47	47	44	53	43	2-5	none	39	50	No	No
266	50	44	47	49	46	57	48	2-5	masters	49	40	No	No
267	54	46	44	47	47	54	43	0-1	bachelor	47	44	No	Yes
268	52	43	47	44	47	44	38	0-1	none	34	24	No	No
269	50	47	47	48	48	53	50	0-1	bachelor	53	43	No	No
270	54	42	46	45	45	47	47	0-1	bachelor	40	46	No	No
271	54	42	48	53	45	53	46	2-5	bachelor	54	49	No	Yes
272	57	50	54	49	57	56	47	2-5	bachelor	56	45	No	No
273	50	49	45	43	47	57	40	11+	none	52	45	No	Yes
274	52	40	44	45	42	51	42	6-10	associate	42	42	No	Yes
275	57	48	51	44	51	54	51	2-5	bachelor	49	47	No	No
276	58	47	47	48	50	53	50	2-5	associate	51	55	Yes	Yes
277	49	42	41	44	48	47	45	0-1	associate	33	38	No	No
278	51	48	46	45	49	47	45	2-5	bachelor	45	38	No	No
279	51	44	47	44	44	48	40	0-1	none	35	44	No	No
280	55	48	48	48	50	60	46	2-5	bachelor	53	59	No	Yes
281	50	41	42	40	45	49	43	11+	bachelor	41	39	No	No
282	53	47	44	43	47	53	44	2-5	bachelor	53	43	No	No
283	48	45	46	38	49	49	41	0-1	none	32	40	No	No
284	51	44	46	41	47	48	49	2-5	none	44	39	No	No
285	56	52	51	46	52	50	52	0-1	associate	57	50	No	No
286	53	43	49	52	44	55	43	11+	none	51	51	No	No
287	57	47	48	45	53	52	42	6-10	none	43	43	No	No
288	51	39	36	44	46	52	45	0-1	bachelor	31	39	No	No
289	54	49	49	45	51	54	48	2-5	bachelor	40	49	No	No
290	49	42	44	42	46	51	46	6-10	masters	34	46	No	No
291	54	52	45	49	50	58	43	6-10	none	57	57	No	Yes
292	47	40	46	49	41	52	42	2-5	none	34	37	No	No
293	52	43	48	46	49	54	49	2-5	bachelor	46	45	No	Yes
294	55	48	50	47	46	53	50	2-5	bachelor	41	51	No	No
295	48	44	45	42	44	49	49	0-1	associate	43	46	No	No
296	53	45	46	44	49	54	45	6-10	bachelor	47	45	No	No
297	54	46	45	50	47	57	44	0-1	associate	48	49	No	Yes
298	51	45	46	38	46	51	47	2-5	bachelor	30	42	No	No
299	56	54	52	47	50	49	49	0-1	bachelor	57	57	Yes	Yes
300	51	45	42	43	43	51	48	2-5	none	42	50	No	No
301	49	44	49	43	48	51	43	6-10	none	33	44	No	No
302	53	46	51	48	49	55	49	2-5	masters	55	43	No	No
303	52	44	50	44	46	51	47	2-5	bachelor	47	38	No	No
304	52	47	47	38	53	57	49	6-10	bachelor	51	53	Yes	Yes
305	56	45	51	50	50	56	49	2-5	bachelor	57	50	No	No
306	55	48	52	46	53	51	46	2-5	none	52	44	No	No
307	52	48	51	44	50	47	42	0-1	associate	42	35	No	No
308	48	47	44	40	47	51	47	6-10	associate	42	44	No	No
309	50	51	46	44	50	52	44	0-1	doctorate	46	45	No	No
310	51	46	41	38	49	48	49	0-1	bachelor	39	48	No	No
311	52	53	47	42	50	54	49	0-1	masters	45	48	No	No
312	52	47	48	46	48	47	48	0-1	associate	44	46	No	Yes
313	58	50	51	53	50	54	48	0-1	bachelor	51	43	No	No
314	55	50	49	44	56	55	57	0-1	bachelor	54	55	No	Yes
315	53	38	47	46	45	51	46	2-5	bachelor	46	35	No	No
316	55	51	51	49	48	56	48	0-1	bachelor	45	51	No	No
317	51	48	52	49	55	53	46	6-10	associate	40	43	No	No
318	51	46	44	45	51	50	47	0-1	associate	35	44	No	No
319	51	47	47	43	45	49	45	0-1	bachelor	32	45	No	No
320	53	48	47	46	44	53	46	2-5	bachelor	38	44	No	No
321	60	54	52	45	55	60	48	6-10	bachelor	60	64	No	No
322	55	52	49	47	47	47	45	0-1	associate	44	56	No	No
323	50	50	51	50	53	48	46	0-1	bachelor	51	42	No	No
324	56	42	45	39	41	49	39	2-5	bachelor	36	38	No	No
325	52	44	44	44	47	49	41	2-5	none	44	37	No	No
326	51	47	41	37	52	42	45	2-5	bachelor	33	41	No	No
327	52	45	46	45	42	49	41	11+	none	47	42	No	No
328	48	43	42	40	50	48	43	0-1	bachelor	31	44	No	No
329	53	46	45	49	45	50	52	2-5	bachelor	46	42	No	No
330	49	46	42	46	39	52	46	0-1	bachelor	39	37	No	No
331	55	47	50	47	47	49	44	2-5	bachelor	46	40	No	No
332	51	49	46	40	48	46	45	0-1	none	41	35	No	Yes
333	58	52	51	47	48	51	43	0-1	none	54	56	No	Yes
334	56	47	46	46	44	56	46	11+	associate	42	54	No	No
335	59	48	47	45	51	44	50	0-1	bachelor	51	36	No	No
336	52	52	51	44	52	49	42	6-10	associate	41	52	No	No
337	51	46	46	45	50	51	48	0-1	bachelor	45	45	No	No
338	55	53	45	43	53	52	50	0-1	bachelor	50	43	No	No
339	56	50	53	51	52	58	47	6-10	associate	58	51	No	No
340	51	46	49	50	42	44	42	2-5	none	28	41	No	No
341	55	48	49	49	51	56	52	2-5	bachelor	40	54	No	No
342	56	44	44	50	46	58	48	2-5	bachelor	54	52	No	Yes
343	55	48	51	45	51	54	43	2-5	none	46	52	No	No
344	51	45	38	41	44	46	42	0-1	none	34	30	No	No
345	52	47	47	44	49	47	56	0-1	bachelor	40	44	No	No
346	45	45	45	41	44	55	44	2-5	associate	34	45	No	No
347	51	46	50	45	51	43	52	0-1	bachelor	41	51	No	No
348	53	43	46	51	48	56	48	6-10	none	42	47	Yes	Yes
349	52	45	42	45	47	58	40	6-10	none	44	41	Yes	Yes
350	49	43	43	42	47	49	46	2-5	bachelor	39	39	No	No
351	55	46	44	43	52	53	43	2-5	bachelor	39	41	No	No
352	47	46	44	45	47	54	47	6-10	bachelor	50	39	No	No
353	58	46	50	50	53	59	45	2-5	bachelor	46	39	No	No
354	47	43	42	37	46	42	47	0-1	associate	37	32	No	No
355	54	49	47	48	54	54	45	0-1	bachelor	50	44	No	No
356	50	44	48	40	44	47	43	0-1	bachelor	38	41	No	No
357	52	53	52	49	53	58	52	2-5	none	47	53	No	No
358	50	52	47	48	50	52	48	2-5	bachelor	51	53	No	Yes
359	51	50	50	48	47	48	45	0-1	associate	48	49	No	Yes
360	56	46	45	45	48	54	37	0-1	none	40	44	No	No
361	52	53	45	46	45	52	40	6-10	none	55	50	No	Yes
362	56	51	49	47	51	55	53	2-5	doctorate	41	57	No	No
363	47	43	48	49	46	54	46	6-10	bachelor	49	37	No	No
364	56	42	45	49	48	62	50	2-5	bachelor	49	48	Yes	No
365	51	42	48	44	46	59	39	2-5	none	32	38	No	No
366	52	51	50	52	51	56	48	6-10	bachelor	56	66	No	Yes
367	51	48	46	45	44	51	47	0-1	bachelor	43	53	No	No
368	49	41	45	44	48	54	43	2-5	none	41	42	No	No
369	50	47	44	52	37	48	40	2-5	associate	39	35	Yes	No
370	54	53	51	48	51	49	53	2-5	associate	60	52	No	No
371	53	51	51	43	50	45	45	2-5	bachelor	48	55	No	No
372	57	49	53	50	53	55	51	11+	bachelor	56	55	Yes	Yes
373	49	44	40	43	45	51	44	0-1	bachelor	38	38	No	No
374	52	49	47	41	51	44	41	0-1	none	43	38	No	No
375	52	47	50	46	48	56	47	0-1	bachelor	46	44	No	No
376	55	45	47	48	52	51	48	2-5	bachelor	46	48	No	Yes
377	47	41	45	45	44	53	47	2-5	associate	37	42	No	No
378	50	43	48	46	47	53	43	2-5	none	46	48	Yes	No
379	45	44	46	45	45	48	46	0-1	associate	43	41	No	No
380	53	43	43	44	49	63	49	0-1	bachelor	45	48	Yes	No
381	51	39	45	47	43	54	46	0-1	bachelor	40	40	No	No
382	56	49	46	48	43	50	43	2-5	bachelor	58	53	No	Yes
383	48	44	45	45	42	56	38	2-5	none	35	33	No	No
384	49	40	36	34	48	40	37	2-5	none	28	33	No	No
385	59	46	46	51	48	62	44	6-10	bachelor	50	50	Yes	No
386	52	50	49	46	53	53	55	2-5	bachelor	56	59	Yes	Yes
387	51	47	44	44	50	51	51	2-5	none	50	38	No	No
388	50	42	45	39	43	48	40	2-5	none	29	45	No	No
389	51	52	51	46	54	50	50	0-1	none	47	45	No	Yes
390	49	42	45	45	49	59	51	6-10	bachelor	50	50	No	No
391	53	46	45	45	54	54	48	6-10	doctorate	51	36	No	No
392	50	42	40	37	48	50	43	0-1	bachelor	28	40	No	No
393	53	52	49	55	55	60	50	2-5	bachelor	58	57	Yes	Yes
394	55	48	47	52	53	58	41	0-1	none	52	46	No	Yes
395	48	46	46	42	45	47	45	0-1	bachelor	44	40	No	No
396	55	48	48	51	47	56	45	0-1	none	54	39	No	No
397	53	52	51	41	52	50	50	2-5	associate	61	48	No	Yes
398	52	45	48	45	53	46	50	0-1	bachelor	44	42	No	No
399	52	45	48	43	46	49	40	2-5	none	38	43	No	No
400	52	48	48	51	46	57	48	2-5	none	52	37	No	No
401	51	49	48	44	46	53	45	6-10	bachelor	45	48	No	No
402	59	48	48	49	56	50	48	2-5	bachelor	45	45	No	Yes
403	50	44	46	42	48	51	41	2-5	none	38	52	No	No
404	56	49	56	46	55	56	48	2-5	bachelor	49	48	No	No
405	51	51	43	43	52	50	49	2-5	bachelor	46	42	No	No
406	53	48	51	47	53	52	49	6-10	none	53	57	Yes	No
407	56	43	52	47	49	56	41	6-10	none	39	53	No	No
408	54	55	48	45	52	58	46	2-5	bachelor	47	54	No	No
409	55	47	51	50	51	48	50	0-1	associate	53	46	No	Yes
410	57	46	51	47	52	46	48	2-5	masters	48	43	No	No
411	56	46	47	49	51	55	46	2-5	associate	58	43	No	No
412	48	40	39	46	41	57	40	6-10	none	43	48	Yes	No
413	61	46	51	50	48	52	43	2-5	bachelor	48	55	No	No
414	54	43	49	43	51	53	48	0-1	masters	43	44	No	No
415	54	45	47	45	54	53	45	0-1	bachelor	49	45	No	Yes
416	55	51	48	46	52	53	45	2-5	associate	48	44	No	No
417	47	46	46	51	46	50	46	0-1	bachelor	34	34	No	Yes
418	55	43	51	49	55	56	51	11+	none	55	40	No	No
419	55	46	48	43	56	48	48	0-1	bachelor	47	44	No	No
420	52	54	52	49	47	55	54	0-1	none	50	58	No	No
421	52	47	51	50	46	47	45	0-1	bachelor	51	46	No	No
422	54	44	51	42	48	52	49	6-10	bachelor	51	44	No	No
423	49	41	44	40	45	51	38	2-5	associate	34	39	No	No
424	56	44	51	46	51	51	47	6-10	associate	58	49	No	No
425	54	50	48	46	51	49	51	2-5	bachelor	44	42	No	Yes
426	53	46	49	43	53	52	44	0-1	none	34	45	No	No
427	54	49	46	44	50	52	43	6-10	none	48	43	No	Yes
428	55	43	50	47	45	52	44	2-5	associate	45	46	No	No
429	48	50	44	44	47	53	49	0-1	bachelor	38	43	No	No
