id|org|type|comment
83|amazon|cons|Long work time and on call pressure
84|amazon|pros|Exciting product launches and hands-on training
84|amazon|cons|Unrealistic performance goals. Senior leadership is out of touch and driven solely by the numbers.
85|amazon|pros|You get good pay and great benefits. If productivity is high, you will receive a bonus of 4% as well as your own stock from day one at Amazon. Pto, Upt, and vacation time is given on your first day.
85|amazon|cons|The managers do not appreciate the employees. They treat the employees like they are slaves. It can be a bit boring as well without any music to keep you going. It's a ten hour shift so you will want to talk to other people but they will not allow you to talk much.
86|amazon|pros|Great place to build a career nice Benifits and can move up with the hard work and some manger willing to help build your portfolios.
86|amazon|cons|Work gets redundant and boring sometimes.
87|amazon|pros|smart hard working employees, some departments manage to mitigate the giant company culture
87|amazon|cons|bloated, not as nimble as they think, senior level managers are like gods and can get away with anything without repercussions, people are just numbers - parts to be used and consumed.
88|amazon|pros|A lot of overtime was offered. Learning the job was easy, because nobody minds lending a hand. Friendly work environment.
88|amazon|cons|Managers forget that they play a leader role and like to sit behind the scenes and let the people under their pay grade handle the heavy work.
89|amazon|pros|Fast moving company. Smart people
89|amazon|cons|Depending on team, can be stressful and unreasonable
90|amazon|pros|Opportunities to move up, may help with education.
90|amazon|cons|The pay is pretty low
91|amazon|pros|If you are hired as an Amazonian you will get a pay check every 2 weeks. If you are a go-getter and can impress the managers you may move up to a Tier 3 associate(PA-Process Assistant) (there is not a tier 2 associate position in the fulfillment DC). They have restricted stocks as a benefit. Once a year they offer cash to those who want to quit Amazon. You cannot return if you take the money. People and most of manag??Show More
91|amazon|cons|Most people who are promoted to a Process Assistant (PA)(Tier 3) are pre picked before the applications are filled out and interviews are finished. The managers encourage everyone to apply and schedule an interview. But the fact is the managers already picked the people they want and the managers are using numbers to tell the associates and whoever would like to know that management is fair. Pay is low and has not in??Show More
92|amazon|pros|Learned a lot in a short period of time. They said 1 year at Amazon is like 5 years somewhere else. I felt that way during my 4 years.
92|amazon|cons|Work/life balance. I worked 10-12 hours a day and was exhausted. They don't tell you that you need to work that many hours, but if you want to get promoted then you have to put in the effort.
93|amazon|pros|I worked in the Biz Dev side of the AWS partner team for 2.5 years and loved it. The pace of innovation at AWS is mind blowing. The products and services that the team works with are market leading and the opportunity before AWS is staggering. I thoroughly enjoyed my 2.5 years there and would have happily stayed for me. I was scooped up by an AWS partner to lead an even bigger opportunity.
93|amazon|cons|AWS lives by its Leadership Principles which is mostly a good thing. If these principles resonate with you then you'll be good. If they do not then don't work there. However, there is no Principle around treating employees well. The closest is Hire & Develop the Best but that does not quite mean treating employees with respect. Within some groups at AWS it can be quite harsh. That was not my experience but I hear??Show More
94|amazon|pros|You're working with the smartest people in the industry on a lot of tough problems, so expectations are high. But there is a lot to learn if you pay attention, and the teammates are very supportive
94|amazon|cons|The intense pressure can be overwhelming, so expect to see a lot turnover. It's hard to remain motivated at times if you feel that you're falling behind.
95|amazon|pros|Easy, no customers. When you become a problem solver you have to use your head a bit which is nice. Stressful but I enjoy it
95|amazon|cons|Mandatory overtime!! :( also very very monotonous if all you do is pack
96|amazon|pros|Working in Customer Service has many areas for specialization; retail, Prime Now, Amazon Logistics, to name a few. There are multiple helpful resources to find answers to problems. There are always new projects developing. Frequent overtime opportunities. Individuals can make exceptions to policies when it's in the customers best interest.
96|amazon|cons|As a virtual employee there is little opportunity to speak with someone by voice. 99% of communication is done by email and/or chat messaging - this can be very time consuming and leads to much frustration. Entry level pay is very poor with no room for negotiation. If overtime needs are not meet voluntarily, mandatory overtime is distributed w/o notice.
97|amazon|pros|Fast paced and rewarding. People were focused on results and our team was driven to deliver on those results. Great teamwork.
97|amazon|cons|Work life balance was sometimes out of whack. Holidays could be very demanding, but everyone understood that we needed to meet customer demand.
98|amazon|pros|Met a lot of nice people; casual environment - don't have to wear suit and high heel shoes. Health care in the facility.
98|amazon|cons|very busy working as there're not enough employees in the department, possibly have to work over time. do not sponsor for H1B
99|amazon|pros|You get paid on time. You can take a lunch break. You get health insurance.
99|amazon|cons|The work environment is unpleasant. There are tons of developers crammed into large open spaces. The buildings are completely devoid of personality. There are rows of developers sitting or standing at door desks. It is a very noisy place to try and get work done. You will be constantly interrupted by people pagers going off, cell phones ringing, people talking and gathering around and dogs barking. There are lines to??Show More
100|amazon|pros|Give lots of unpaid time
100|amazon|cons|They don't really value their employees
101|amazon|pros|Good company to work for if you don't mind working hard. Great benefits for associates.
101|amazon|cons|Can be hard on family life throughout the year.
102|amazon|pros|Fast paced at the ship dock, it makes time go extremely fast.
102|amazon|cons|You can get stuck with a lazy crew and it makes it more difficult for you to do your job.
103|amazon|pros|Great company to work for if you're tech oriented. The interview process was a bit thorough, but necessary, The pay was solid and I moved up within 6 months. Overall a positive employment experience.
103|amazon|cons|Management could do with providing a little more support when absolutely needed. Training materials were lacking, but not awfully so.
104|amazon|pros|Good Training program, steady work, opportunities for advancement, good benefits
104|amazon|cons|Repetitive, easy to get overlooked, high turnover rate
105|amazon|pros|Fast-paced culture where you have the opportunity to experiment and launch new ideas and innovations without bureaucracy. Generally ideas grow organically vs. are dictated from the top down which is a great opportunity for those who want to experiment with new products and features, test them, iterate and scale. Success is dependent on your ability to iterate and scale products vs. nailing it on the first launch. If???Show More
105|amazon|cons|The best strategy is to enter Amazon as a new hire MBA, build your skills with different industry leading products and technologies, and move on by year 4. For experienced hires, your ability to advance in your career is 100% dependent on the networking skills of your manager, their experience with the process, and the quality of their writing due to a highly political, subjective promotion process. There are no defi??Show More
106|amazon|pros|The experience can be different for all people. Some of the good things about working here of course are the pay and the people you have a chance to meet.
106|amazon|cons|For me it has been tedious. As a picker The job is not hard but the hours drag and by the end most people seem to be tired and wanting to go home. The managers try and make us feel energized and positive about the day but I still dread those 10 hours of walking back and forth the mods without really stopping because it might affect your rate. It is also not the best in work-life balance. The job can be draining and e??Show More
107|amazon|pros|Hard workers get ahead easily.
107|amazon|cons|It can be difficult to get work done quickly with a lot of people who are just there socializing and collecting a paycheck.
108|amazon|pros|Lots of hours, 4 day work week (unless you have to work overtime) good benefits
108|amazon|cons|Lots of hours, lower than average pay, lots of management change, most managers are fresh out of school, many have never actually worked before.
109|amazon|pros|Great hours, flexible with class schedule
109|amazon|cons|The other associates aren't well suited for the job.
110|amazon|pros|there are no pros to working for amazon, besides good insurance.
110|amazon|cons|everything, management is bad, pay is bad, and the work sucks.
111|amazon|pros|Good benefits, Paid time off, unpaid time off, medical, dental etc.
111|amazon|cons|Less salary and hard work
112|amazon|pros|Great benefits and incentives with no probationary period.
112|amazon|cons|Not enough organization with high volume of employees.
113|amazon|pros|The environment was very fast paced with emphasis on shipping products as quickly as possible while still maintaining a high quality bar.
113|amazon|cons|"At some point, decision making became too ""top-down"", which made it hard to stay engaged to products."
114|amazon|pros|For the highly motivated and ambitious there is no end to learning and role opportunities.
114|amazon|cons|Less ambitious people get marginalized.
115|amazon|pros|Oh my God, this job is the best kept secret, now mind you I had to drive a little ways to get to the job site because I live in Milwaukee, and the Job is in Kenosha, but its well worth it, the pay is great and the energy is so high, you get to wear jeans, a t shirt and tennis shoes, there's a lot of walking so you get a full work out, so if you like to stay in shape, this is the place, you get paid every Friday, my d??Show More
115|amazon|cons|the downs are I!f you don't like to drive, or live in the area, traffic could be a problem!
116|amazon|pros|Decent hours for part time. Pay is pretty good for the work. Not slave labor, nor are you treated like a slave. Very lenient on many things.
116|amazon|cons|TOO lenient on certain things. A lot of people should be let go, but aren't. Too easy for people to stand around and collect pay check. Not flexible hours.
117|amazon|pros|Amazon is an amazing place to work, learn and grow - quickly. Your peers are best in class, and you will learn more in one year than you will at other companies in 10 years. Amazon pays well through salary, bonus, and most importantly - stock.
117|amazon|cons|You'll work a lot at times, but the reward will be an amazing product that creates an opportunity or solves a problem for the customer. Best for those who desire challenge and quick growth opps.
118|amazon|pros|Customers live the service. Tips are tremendous. You are paid $18 per hour plus tips.
118|amazon|cons|Like all app based delivery jobs, too many drivers are hired. In this case, almost 200. Amazon clearly only cares about customers and not about the people on the front line so to speak who the customers actually can put a face to, which are the drivers. Working as an IC is hard enough, but after working two four day work weeks, I have not worked in twelve days and am on The schedule only once in the next seven days.???Show More
119|amazon|pros|Fast growing environment. Can learn a lot.
119|amazon|cons|Managers won't assign SDEI's interesting work.
120|amazon|pros|Amazon is a challenging and opportunistic company. I have been given the freedom to propose new ideas and implement network wide changes. Amazon has helped develop me through working in different FC's and departments in my career.
120|amazon|cons|The hours can fluctuate and shifts are approx. 12 hours long. Almost all managers work a weekend day and half of the management team works a night shift schedule. The remarkably high demands can sometimes be too much for teams to handle.
121|amazon|pros|Ownership and their leadership principles
121|amazon|cons|Slow growth in a matter of 10 years
122|amazon|pros|Good benefits, friendly coworkers, nice paycheck, feels good to have 3 consecutive days off, you are given plenty of time to use, and they do have activities for associates during the summer, and holidays.
122|amazon|cons|I can't stand the fact that it's no work-life balance. The 10 hour schedules suck, I'd rather work 8 hours shifts 5 days a week. You have to go through too much to get promoted when people you train get promoted before you. it's so much I can say but I'm going to keep at a minimum
123|amazon|pros|You get to work on a ton of stuff and use the latest AWS technologies and learn how one of the biggest software companies in the world manages its software processes
123|amazon|cons|Not a fan of being on-call, particularly as the number of services your team owns grows, since we're always writing new services and many issues only come up in production. Very fast paced work environment, and very smart coworkers, doesn't leave a lot for work-life balance
124|amazon|pros|Good Leadership, plenty of opportunities for advancement
124|amazon|cons|Plans/ideas change from day to day and can cause productivity losses
125|amazon|pros|Pretty Simple and straight foward. Friendly people.
125|amazon|cons|After a few hours you go crazy doing the same thing over and over again but after your first two weeks you'll get used to it.
126|amazon|pros|It was a pleasant work environment.
126|amazon|cons|The location was a little inconvenient.
127|amazon|pros|Competitive salary. Innovative company to work for.
127|amazon|cons|Long hours. Ambiguity. Lack of leadership
128|amazon|pros|I worked 40 hours a week until peek hit. Then my hours were up to 55 a week.
128|amazon|cons|You're feet will kill you and becoming a regular employee there is difficult
129|amazon|pros|Managers that listen, plenty of O.T.
129|amazon|cons|Too much product for size of building; Management has to scramble to accomodate
130|amazon|pros|freindly place to work, job requirements are easy to learn, fast paced environment, help from other workers is readily available
130|amazon|cons|low pay, part-time only, no opportunity for full time work, management needs to interact more with employees, management not always readily available to employees, key positions not always manned
131|amazon|pros|It looks really good on a resume. People always ask about it. Safety walks, gemba. It is great if you are young and with out a family.
131|amazon|cons|Night shift is not fun. my schedule did not work out well for my family. The workplace was very backstabbing. People always wanted to backstab. Watch out for the bus drivers.
132|amazon|pros|The pay is good for the area we are located in, able to work night shift to not have to pay for childcare.
132|amazon|cons|The long hours of standing and walking each night can be tiresome.
133|amazon|pros|Great company has a lot of business units and branches, so you might explore different teams easily.
133|amazon|cons|Company moves fast, so does the employees.
134|amazon|pros|The compensate well, working 4 and sometimes 5 days a week depending on holidays and others
134|amazon|cons|The downsides can be working on a salary base, they can throw 40 hours at you one week and 50 hours the next
135|amazon|pros|Nice coworkers
135|amazon|cons|lack of communication
136|amazon|pros|Multiple opportunities for growth
136|amazon|cons|High Turnover rate
137|amazon|pros|Working with a high number of clients all over the world increased my ability to be customer orientated and also detail orientated which was one of the most important facts in my job
137|amazon|cons|It can be really stressful dealing with upset customers.
138|amazon|pros|Extra hours available sometimes. Can wear comfortable clothing. Great people to work with. Pay is good. You get unpaid time off. You get holiday pay and perks during the Thanksgiving and Christmas time of the year.
138|amazon|cons|Training should be longer then a week. And they should stick to what they believe is good customer service for customers packages being delivered to their home or business. Not everybody should not be a blue badge.
139|amazon|pros|If you are starting out in life it is a great job. The benefits are great. I had a son last year and haven't paid for a doctor visit yet.
139|amazon|cons|Rare chance to move up, the area managers are all new hires from Virginia Tech and they come in not knowing absolutely zero. Jobs go up on the job board just long enough for the person they want to have to put in their application.(less than 24 hours)
140|amazon|pros|Awesome place work.
140|amazon|cons|No issues with the leadership principles.
141|amazon|pros|Putting in overtime, your check look nice.
141|amazon|cons|Standing basically in the same spot for 9 1/2 hours and the reptition using your hands, you start to notice carpa ltunnel aches that last for days.
142|amazon|pros|clean environment ,plenty of work if your willing to work overtime.very good benefits ,including tuition for school,bonuses(vcp),paid time off
142|amazon|cons|every high school grad with no work experience will get paid the same as a seasoned worker ,
143|amazon|pros|Decent pay considering there aren't really any prerequisites for the job. Some positions will even pay for a minimum number of hours per week, so you'll still get a decent check on slow weeks.
143|amazon|cons|Shifts could be better scheduled. Currently, the only options are in the evening, starting at either 4 PM, or 9 PM. The 4 PM shift severely limits your options for second jobs, while the 9 PM shift will gradually eat away at your sleep time. A 6 PM shift, for instance, would make the position more viable for a lot of people with other obligations during the day.
144|amazon|pros|Great learning opportunity for interns
144|amazon|cons|Work - Life balance can be improved
145|amazon|pros|Autonomy- no one is going to tell you how to do your job. You decide the best way.
145|amazon|cons|Autonomy- no one is going to tell you how to do your job. You don't get a whole lot of guidance. It's sort of trial by fire's
146|amazon|pros|Spacious, personal and vaction time give
146|amazon|cons|Short breaks, bad HR attitudes
147|amazon|pros|Great people to work with. A lot of incentives
147|amazon|cons|A lot of favoritism
148|amazon|pros|very good work culture at amazon
148|amazon|cons|not applicable here at all
149|amazon|pros|They take great care of us.
149|amazon|cons|None that I have felt.
150|amazon|pros|Very good company to work for.
